codigo,datetime,codigo_concorrente
JU6Ggudehig6AffZFq+8xDe/MttO8m5P5+s+ANmV+JkGnvhTczeY/KnK8WVu0d+v,2017-07-23 21:12:57.056,650509405109544
L2LNsLdlJMdr6HeuMICn51YlaE2rD6OhOXcXbsjjqG2yCduGMBii2tOtaWzZktCS,2017-07-14 13:07:01.949,650509405109544
jYaJZuli3fVSNDOs60if9VObBmCOoJP2x9H3IZP+6FsMRk/fZC8VHIoo683FEkKe,2017-07-12 20:18:44.898,650509405109544
jYaJZuli3fVSNDOs60if9VObBmCOoJP2x9H3IZP+6FsMRk/fZC8VHIoo683FEkKe,2017-07-01 21:46:53.863,650509405109544
jYaJZuli3fVSNDOs60if9VObBmCOoJP2x9H3IZP+6FsMRk/fZC8VHIoo683FEkKe,2017-07-02 23:23:32.896,650509405109544
JU6Ggudehig6AffZFq+8xDe/MttO8m5P5+s+ANmV+JkGnvhTczeY/KnK8WVu0d+v,2017-07-18 17:14:27.255,650509405109544
JU6Ggudehig6AffZFq+8xDe/MttO8m5P5+s+ANmV+JkGnvhTczeY/KnK8WVu0d+v,2017-07-15 22:58:03.744,650509405109544
jYaJZuli3fVSNDOs60if9VObBmCOoJP2x9H3IZP+6FsMRk/fZC8VHIoo683FEkKe,2017-07-09 16:53:51.056,650509405109544
jYaJZuli3fVSNDOs60if9VObBmCOoJP2x9H3IZP+6FsMRk/fZC8VHIoo683FEkKe,2017-07-14 21:19:32.3,650509405109544
jYaJZuli3fVSNDOs60if9VObBmCOoJP2x9H3IZP+6FsMRk/fZC8VHIoo683FEkKe,2017-07-03 03:00:54.681,650509405109544
jYaJZuli3fVSNDOs60if9VObBmCOoJP2x9H3IZP+6FsMRk/fZC8VHIoo683FEkKe,2017-07-13 20:16:32.533,650509405109544
JU6Ggudehig6AffZFq+8xDe/MttO8m5P5+s+ANmV+JkGnvhTczeY/KnK8WVu0d+v,2017-07-06 21:06:15.446,650509405109544
jYaJZuli3fVSNDOs60if9VObBmCOoJP2x9H3IZP+6FsMRk/fZC8VHIoo683FEkKe,2017-07-02 01:53:02.503,650509405109544
jYaJZuli3fVSNDOs60if9VObBmCOoJP2x9H3IZP+6FsMRk/fZC8VHIoo683FEkKe,2017-07-02 18:50:23.942,650509405109544
2+gDNFdRom/l+PDl0hPv8friJIeCgwy60q/R6id8vKq5ES2bgXNEvHiJ4k9zMMOm,2017-07-17 09:34:50.661,650509405109544
jYaJZuli3fVSNDOs60if9VObBmCOoJP2x9H3IZP+6FsMRk/fZC8VHIoo683FEkKe,2017-07-15 03:58:01.771,650509405109544
jYaJZuli3fVSNDOs60if9VObBmCOoJP2x9H3IZP+6FsMRk/fZC8VHIoo683FEkKe,2017-07-15 17:00:33.084,650509405109544
jYaJZuli3fVSNDOs60if9VObBmCOoJP2x9H3IZP+6FsMRk/fZC8VHIoo683FEkKe,2017-07-01 21:51:36.421,650509405109544
jYaJZuli3fVSNDOs60if9VObBmCOoJP2x9H3IZP+6FsMRk/fZC8VHIoo683FEkKe,2017-07-15 17:48:42.157,650509405109544
jYaJZuli3fVSNDOs60if9VObBmCOoJP2x9H3IZP+6FsMRk/fZC8VHIoo683FEkKe,2017-06-30 22:46:39.646,650509405109544
jYaJZuli3fVSNDOs60if9VObBmCOoJP2x9H3IZP+6FsMRk/fZC8VHIoo683FEkKe,2017-07-03 02:00:20.283,650509405109544
jYaJZuli3fVSNDOs60if9VObBmCOoJP2x9H3IZP+6FsMRk/fZC8VHIoo683FEkKe,2017-07-01 04:58:11.122,650509405109544
