codigo_concorrente;dias_semana;manha;tarde;noite
136479983088499;4;11.5;8.5;9.4
136479983088499;5;11.5;9.0;7.0
136479983088499;6;8.75;12.4;7.4
136629343194502;0;2.5;1.0;1.5
136629343194502;1;2.6666666666666665;1.0;1.0
136629343194502;2;2.0;1.0;1.3333333333333333
136629343194502;3;1.0;1.0;
136629343194502;4;1.0;1.0;1.0
136629343194502;5;1.0;1.5;
136629343194502;6;2.75;1.3333333333333333;2.0
136970176441627;0;20.333333333333332;19.2;5.4
136970176441627;1;16.166666666666668;17.0;5.8
136970176441627;2;8.4;11.25;5.0
136970176441627;3;17.25;16.25;4.25
136970176441627;4;26.0;27.5;4.5
136970176441627;5;24.6;34.5;3.5
136970176441627;6;19.5;19.2;5.4
137274479672797;0;2.4;10.75;5.0
137274479672797;1;1.3333333333333333;1.25;2.0
137274479672797;2;2.0;2.5;7.666666666666667
137274479672797;3;4.25;1.6666666666666667;1.3333333333333333
137274479672797;4;1.6666666666666667;5.5;5.0
137274479672797;5;2.25;2.0;1.5
137274479672797;6;5.0;2.0;3.2
138214593240508;0;1.5;6.0;
138214593240508;1;2.5;4.333333333333333;1.0
138214593240508;2;1.3333333333333333;4.0;1.0
138214593240508;3;2.0;1.0;4.0
138214593240508;4;5.0;3.6666666666666665;4.5
138214593240508;5;6.0;7.0;2.0
138214593240508;6;4.0;2.3333333333333335;
138601679662868;0;2.75;2.0;5.0
138601679662868;1;4.2;1.0;3.0
138601679662868;2;3.5;2.0;2.5
138601679662868;3;2.3333333333333335;4.0;3.0
138601679662868;4;2.25;4.333333333333333;5.666666666666667
138601679662868;5;2.0;2.0;2.75
138601679662868;6;2.75;2.6666666666666665;3.4
139303162944203;0;5.25;20.4;10.8
139303162944203;1;11.6;11.4;2.5
139303162944203;2;19.0;49.75;30.8
139303162944203;3;4.0;34.25;25.0
139303162944203;4;10.0;21.8;6.25
139303162944203;5;3.6666666666666665;8.4;12.2
